name,category,city,state,status,heat,source,phone,email,source_url,remarks
"Fairview School Kuala Lumpur","International","Wangsa Maju","Kuala Lumpur","Not Contacted","Hot","Web crawl - EduSwasta","03-41420888","enquiries@fairview.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Frontier International Secondary School","International","Kuala Lumpur","Kuala Lumpur","Not Contacted","Hot","Web crawl - EduSwasta","0122909492","admin@frontierinternational.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Garden International School","International","Sri Hartamas","Kuala Lumpur","Not Contacted","Hot","Web crawl - EduSwasta","03-62096888","admissions@gardenschool.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Global Indian International School, Kuala Lumpur","International","Brickfields","Kuala Lumpur","Not Contacted","Hot","Web crawl - EduSwasta","03-27889547","manoj.nair@globalindianschool.org","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Havil International School","International","Brickfields","Kuala Lumpur","Not Contacted","Hot","Web crawl - EduSwasta","03-22763338","admin@havil.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Hibiscus International School","International","Kepong","Kuala Lumpur","Not Contacted","Hot","Web crawl - EduSwasta","03-62425544","admissions@hibiscus.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Kensington International Secondary School","International","Cheras","Kuala Lumpur","Not Contacted","Hot","Web crawl - EduSwasta","0123473630","","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"KYS KL East International School, Kuala Lumpur","International","Sentul","Kuala Lumpur","Not Contacted","Hot","Web crawl - EduSwasta","0176313157","kleast@kysm.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Marefat International School","International","Gombak","Kuala Lumpur","Not Contacted","Hot","Web crawl - EduSwasta","0182356256","jafar@marefat.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Mont' Kiara International School","International","Sri Hartamas","Kuala Lumpur","Not Contacted","Hot","Web crawl - EduSwasta","03-20938604","alice@mkis.edu.my : mohana@mkis.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Pine Hills International School","International","Kuala Lumpur","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","0377731331","ask@pinehills.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Primrose International School Kuala Lumpur","International","Kuala Lumpur","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","0125052316","","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Rocklin International School","International","Cheras","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-91743865","info@rocklinschool.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Sayfol International School","International","Kuala Lumpur","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-42568781","admissions@sayfol.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"SRI Dasmesh International School","International","Bangsar","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-22881600","admin@sridasmesh.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"SRI Desa International Secondary School, Taman Desa, Kuala Lumpur","International","Kuala Lumpur","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-79720000","enquiry@sridesa.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"SRI Sempurna International School","International","Cheras","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-91325100","enquiry@srisempurna.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"St. John’s International Primary School, Kuala Lumpur","International","Kuala Lumpur","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-20341788","corporate-com@sjis.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"St. John’s International Secondary School","International","Kuala Lumpur","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-20224881","corporate-com@sjis.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Stella Maris International School Kuala Lumpur","International","Bukit Damansara","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-20830025","smis@stellamaris.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Summer International Secondary School","International","Taman Tun Dr Ismail","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","0377338625","admin@siss.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Taylor's International School Kuala Lumpur","International","Cheras","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-64155000","low.susan@kl.tis.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"The International School of Kuala Lumpur","International","Kuala Lumpur","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-48135000","iskl@iskl.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"The International School@parkcity","International","Bandar Sri Damansara","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-62808880","admissions@isp.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Tree Top International School","International","Kepong","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-62419777","treetopedu@treetophouse.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Tzu-Chi International School Kuala Lumpur","International","Bukit Jalil","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-80907888","tciskl.info@tzuchi.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"UCSI International School","International","Cheras","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","60391018880","enquiry.kl@ucsiinternationalschool.edu.m","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Utama International School Kuala Lumpur","International","Wangsa Maju","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-41310093","info@sriutama.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Valley International School Kuala Lumpur","International","Brickfields","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-28592313","info@valley.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Vikas International School","International","Kuala Lumpur","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","0379822992","vis@vikas.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"Wesley Methodist School Kuala Lumpr(International)","International","Sentul","Kuala Lumpur","Not Contacted","Warm","Web crawl - EduSwasta","03-40416470","kl@wms.edu.my","https://eduswasta.my/international-schools/kuala-lumpur/","Public directory lead from EduSwasta Kuala Lumpur international schools page."
"100 Lambs International School","International","Skudai","Johor","Not Contacted","Hot","Web crawl - EduSwasta","0127721181","perumal@100lambs.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Austin Heights International School","International","Pasir Gudang","Johor","Not Contacted","Hot","Web crawl - EduSwasta","07-3515000","enquiry@autinheights.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Cornerstone International School","International","Johor Bahru","Johor","Not Contacted","Hot","Web crawl - EduSwasta","072729349","admin@ccem.ws","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Crescendo-HELP International School","International","Ulu Tiram","Johor","Not Contacted","Hot","Web crawl - EduSwasta","078616788","admin@chis.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Destiny International School","International","Muar","Johor","Not Contacted","Hot","Web crawl - EduSwasta","069592059","info@destiny.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Fairview International School","International","Pasir Gudang","Johor","Not Contacted","Hot","Web crawl - EduSwasta","07-3643378","enquiry@fairview.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Forest City International School","International","Johor Bahru","Johor","Not Contacted","Hot","Web crawl - EduSwasta","60198192023","info@cats-fc.org","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Idrissi International School","International","Iskandar Puteri","Johor","Not Contacted","Hot","Web crawl - EduSwasta","0333624216","enquiry.jb@idrissischool.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Invictus International School","International","Iskandar Puteri","Johor","Not Contacted","Hot","Web crawl - EduSwasta","072330800","jabrullah.jamaludin@invictus.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Invictus International School.","International","Masai","Johor","Not Contacted","Hot","Web crawl - EduSwasta","07-38889915","nurul.hidayah@invictus.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Link International School","International","Iskandar Puteri","Johor","Not Contacted","Hot","Web crawl - EduSwasta","07-5853434","enquiry@link.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Luca International School","International","Skudai","Johor","Not Contacted","Hot","Web crawl - EduSwasta","0125541386","school_info@lucais.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Maple International Secondary School","International","Pasir Gudang","Johor","Not Contacted","Hot","Web crawl - EduSwasta","0197779009","iedc.edu@gmail.com","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Marlborough College","International","Iskandar Puteri","Johor","Not Contacted","Hot","Web crawl - EduSwasta","07-5602200","malaysia@marlboroughcollege.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"MERC International Secondary School","International","Batu Pahat","Johor","Not Contacted","Hot","Web crawl - EduSwasta","0177205254","merc5254@gmail.com","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Mount Safa International Primary School","International","Pasir Gudang","Johor","Not Contacted","Warm","Web crawl - EduSwasta","073513834","admin@mountsafa.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"New Bridge International School","International","Skudai","Johor","Not Contacted","Warm","Web crawl - EduSwasta","01127418668","info@newbridge.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Orbix International School Muar","International","Bakri","Johor","Not Contacted","Warm","Web crawl - EduSwasta","6079810333","orbixschools@orbix.edu.com","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Paragon International School, Kulaijaya","International","Masai","Johor","Not Contacted","Warm","Web crawl - EduSwasta","07-3619696","info@paragon.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Raffles American School","International","Iskandar Puteri","Johor","Not Contacted","Warm","Web crawl - EduSwasta","07-5098763","","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"REAL International School","International","Masai","Johor","Not Contacted","Warm","Web crawl - EduSwasta","07-3864468","enquiry_jb@real.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Sekolah Antarabangsa Matahari","International","Johor Bahru","Johor","Not Contacted","Warm","Web crawl - EduSwasta","0167538088","sekolahmatahari@gmail.com","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Seri Jubli International School","International","Kluang","Johor","Not Contacted","Warm","Web crawl - EduSwasta","017-4040039","admin@serijubli.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Seri Omega International School","International","Senai","Johor","Not Contacted","Warm","Web crawl - EduSwasta","07-5998998","seriomega@gmail.com","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"SRI Ara International School","International","Johor Bahru","Johor","Not Contacted","Warm","Web crawl - EduSwasta","07-2222089","sriaraschools@yahoo.com","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Sribagan International School","International","Iskandar Puteri","Johor","Not Contacted","Warm","Web crawl - EduSwasta","07-5857488","sribaganjb.edu@gmail.com","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Stellar International School","International","Iskandar Puteri","Johor","Not Contacted","Warm","Web crawl - EduSwasta","01156223116","info@stellar.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Sunway International School, Sunway Iskandar","International","Iskandar Puteri","Johor","Not Contacted","Warm","Web crawl - EduSwasta","07-5338070","infosis@sunway.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Tenby International School","International","Johor Bahru","Johor","Not Contacted","Warm","Web crawl - EduSwasta","07-5588812","ecogardens@tenby.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Unico International School","International","Segamat","Johor","Not Contacted","Warm","Web crawl - EduSwasta","0126002764","admin@unico.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Utama International School","International","Johor Bahru","Johor","Not Contacted","Warm","Web crawl - EduSwasta","07-3362058","info.jb@sriutama.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Zera International School","International","Pasir Gudang","Johor","Not Contacted","Warm","Web crawl - EduSwasta","0132058869","hello@zera.edu.my","https://eduswasta.my/international-schools/johor/","Public directory lead from EduSwasta Johor international schools page."
"Abedeen International School","International","Cyberjaya","Selangor","Not Contacted","Warm","Web crawl - EduSwasta","0162612846","admin@abedeen.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Acmar International School, Klang","International","Klang","Selangor","Not Contacted","Warm","Web crawl - EduSwasta","03-33583777","admin.ais@acmarschools.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Al-Hamra International Primary School, Petaling Jaya, Selangor","International","Petaling Jaya","Selangor","Not Contacted","Warm","Web crawl - EduSwasta","0326308010","bursary@alhamra.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Ardence International Secondary School","International","Shah Alam","Selangor","Not Contacted","Warm","Web crawl - EduSwasta","012-6427996","hello.ardence@gmail.com","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Arrow International Secondary School, Petaling Jaya","International","Puchong","Selangor","Not Contacted","Warm","Web crawl - EduSwasta","03-76229747","secondaryschool@arrows.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Asia Pasific International School","International","Subang","Selangor","Not Contacted","Warm","Web crawl - EduSwasta","0129840738","ap-schools@apschools.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Aspiration International Primary School","International","Petaling Jaya","Selangor","Not Contacted","Warm","Web crawl - EduSwasta","03-77317676","enquiries@primary.aspirationis.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Australian International School","International","Seri Kembangan","Selangor","Not Contacted","Warm","Web crawl - EduSwasta","03-86841555","paprincipal@aism.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Axcel International School, Puchong, Selangor","International","Puchong","Selangor","Not Contacted","Warm","Web crawl - EduSwasta","03-80514776","info@axcel.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Beaconhouse International Primary School","International","Rawang","Selangor","Not Contacted","Warm","Web crawl - EduSwasta","","","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Beaconhouse SRI Inai International School","International","Petaling Jaya","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","0378046025","sapiah.ali@beaconhouse.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Beverly International School","International","Cyberjaya","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","012-6970432","write2us@beverly.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Brainy Bunch International Islamic Montessori School","International","Gombak","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","","","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Brainy Bunch Islamic International School Cyberjaya","International","Cyberjaya","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","03-84080000","info@brainybunch.com","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"British International School","International","Petaling Jaya","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","03-77277775","info@britishschool.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Canary International School","International","Klang","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","","","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Collinz International Primary School","International","Shah Alam","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","0129029664","school.gl@collinz.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Collinz International School","International","Klang","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","0125808609","school.bo@collinz.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Collinz International Secondary School","International","Shah Alam","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","012-902 966","school.gl@collinz.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Columbia International School, Cheras Selangor","International","Seri Kembangan","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","0387411413","cis@columbiaschool.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Concord College International School","International","Sepang","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","0389663988","","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"DWI Emas International School","International","Shah Alam","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","03-55246390","enquiry@dwiemas.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Eagles Grammar International School","International","Subang Jaya","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","013-2399778","info@egis.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Eaton International School","International","Seri Kembangan","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","03-87414965","enquiry@eaton.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Eaton International School.","International","Shah Alam","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","","","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"ELC International School","International","Sungai Buloh","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","03-61565001","sen_admin_exec_sb@elc.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
"Fairview International School","International","Subang Jaya","Selangor","Not Contacted","Cool","Web crawl - EduSwasta","03-80237777","enquiries_sj@fairview.edu.my","https://eduswasta.my/international-schools/selangor/","Public directory lead from EduSwasta Selangor international schools page."
