name,category,city,state,status,heat,source,phone,email,source_url,pic,pic_role,last_contact,next_follow_up,deal_size,remarks
Garden International School,International,Sri Hartamas,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-62096888,admissions@gardenschool.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
"Global Indian International School, Kuala Lumpur",International,Brickfields,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-27889547,manoj.nair@globalindianschool.org,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Havil International School,International,Brickfields,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-22763338,admin@havil.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Hibiscus International School,International,Kepong,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-62425544,admissions@hibiscus.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Kensington International Secondary School,International,Cheras,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,0123473630,,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
"KYS KL East International School, Kuala Lumpur",International,Sentul,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,0176313157,kleast@kysm.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Marefat International School,International,Gombak,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,0182356256,jafar@marefat.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Mont' Kiara International School,International,Sri Hartamas,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-20938604,alice@mkis.edu.my : mohana@mkis.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Pine Hills International School,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,0377731331,ask@pinehills.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Primrose International School Kuala Lumpur,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,0125052316,,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Rocklin International School,International,Cheras,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-91743865,info@rocklinschool.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Sayfol International School,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-42568781,admissions@sayfol.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
SRI Dasmesh International School,International,Bangsar,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-22881600,admin@sridasmesh.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
"SRI Desa International Secondary School, Taman Desa, Kuala Lumpur",International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-79720000,enquiry@sridesa.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
SRI Sempurna International School,International,Cheras,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-91325100,enquiry@srisempurna.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
"St. John’s International Primary School, Kuala Lumpur",International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-20341788,corporate-com@sjis.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
St. John’s International Secondary School,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-20224881,corporate-com@sjis.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Stella Maris International School Kuala Lumpur,International,Bukit Damansara,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-20830025,smis@stellamaris.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Summer International Secondary School,International,Taman Tun Dr Ismail,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,0377338625,admin@siss.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Taylor's International School Kuala Lumpur,International,Cheras,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-64155000,low.susan@kl.tis.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
The International School of Kuala Lumpur,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-48135000,iskl@iskl.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
The International School@parkcity,International,Bandar Sri Damansara,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-62808880,admissions@isp.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Tree Top International School,International,Kepong,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-62419777,treetopedu@treetophouse.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Tzu-Chi International School Kuala Lumpur,International,Bukit Jalil,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-80907888,tciskl.info@tzuchi.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
UCSI International School,International,Cheras,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,60391018880,enquiry.kl@ucsiinternationalschool.edu.m,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Utama International School Kuala Lumpur,International,Wangsa Maju,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-41310093,info@sriutama.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Valley International School Kuala Lumpur,International,Brickfields,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-28592313,info@valley.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Vikas International School,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,0379822992,vis@vikas.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Wesley Methodist School Kuala Lumpr(International),International,Sentul,Kuala Lumpur,Not Contacted,Warm,Web crawl - EduSwasta,03-40416470,kl@wms.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
100 Lambs International School,International,Skudai,Johor,Not Contacted,Hot,Web crawl - EduSwasta,0127721181,perumal@100lambs.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Austin Heights International School,International,Pasir Gudang,Johor,Not Contacted,Hot,Web crawl - EduSwasta,07-3515000,enquiry@autinheights.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Cornerstone International School,International,Johor Bahru,Johor,Not Contacted,Hot,Web crawl - EduSwasta,072729349,admin@ccem.ws,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Crescendo-HELP International School,International,Ulu Tiram,Johor,Not Contacted,Hot,Web crawl - EduSwasta,078616788,admin@chis.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Destiny International School,International,Muar,Johor,Not Contacted,Hot,Web crawl - EduSwasta,069592059,info@destiny.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Fairview International School,International,Pasir Gudang,Johor,Not Contacted,Hot,Web crawl - EduSwasta,07-3643378,enquiry@fairview.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Forest City International School,International,Johor Bahru,Johor,Not Contacted,Hot,Web crawl - EduSwasta,60198192023,info@cats-fc.org,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Idrissi International School,International,Iskandar Puteri,Johor,Not Contacted,Hot,Web crawl - EduSwasta,0333624216,enquiry.jb@idrissischool.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Invictus International School,International,Iskandar Puteri,Johor,Not Contacted,Hot,Web crawl - EduSwasta,072330800,jabrullah.jamaludin@invictus.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Invictus International School.,International,Masai,Johor,Not Contacted,Hot,Web crawl - EduSwasta,07-38889915,nurul.hidayah@invictus.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Link International School,International,Iskandar Puteri,Johor,Not Contacted,Hot,Web crawl - EduSwasta,07-5853434,enquiry@link.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Luca International School,International,Skudai,Johor,Not Contacted,Hot,Web crawl - EduSwasta,0125541386,school_info@lucais.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Maple International Secondary School,International,Pasir Gudang,Johor,Not Contacted,Hot,Web crawl - EduSwasta,0197779009,iedc.edu@gmail.com,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Marlborough College,International,Iskandar Puteri,Johor,Not Contacted,Hot,Web crawl - EduSwasta,07-5602200,malaysia@marlboroughcollege.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
MERC International Secondary School,International,Batu Pahat,Johor,Not Contacted,Hot,Web crawl - EduSwasta,0177205254,merc5254@gmail.com,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Mount Safa International Primary School,International,Pasir Gudang,Johor,Not Contacted,Warm,Web crawl - EduSwasta,073513834,admin@mountsafa.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
New Bridge International School,International,Skudai,Johor,Not Contacted,Warm,Web crawl - EduSwasta,01127418668,info@newbridge.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Orbix International School Muar,International,Bakri,Johor,Not Contacted,Warm,Web crawl - EduSwasta,6079810333,orbixschools@orbix.edu.com,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
"Paragon International School, Kulaijaya",International,Masai,Johor,Not Contacted,Warm,Web crawl - EduSwasta,07-3619696,info@paragon.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Raffles American School,International,Iskandar Puteri,Johor,Not Contacted,Warm,Web crawl - EduSwasta,07-5098763,,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
REAL International School,International,Masai,Johor,Not Contacted,Warm,Web crawl - EduSwasta,07-3864468,enquiry_jb@real.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Sekolah Antarabangsa Matahari,International,Johor Bahru,Johor,Not Contacted,Warm,Web crawl - EduSwasta,0167538088,sekolahmatahari@gmail.com,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Seri Jubli International School,International,Kluang,Johor,Not Contacted,Warm,Web crawl - EduSwasta,017-4040039,admin@serijubli.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Seri Omega International School,International,Senai,Johor,Not Contacted,Warm,Web crawl - EduSwasta,07-5998998,seriomega@gmail.com,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
SRI Ara International School,International,Johor Bahru,Johor,Not Contacted,Warm,Web crawl - EduSwasta,07-2222089,sriaraschools@yahoo.com,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Sribagan International School,International,Iskandar Puteri,Johor,Not Contacted,Warm,Web crawl - EduSwasta,07-5857488,sribaganjb.edu@gmail.com,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Stellar International School,International,Iskandar Puteri,Johor,Not Contacted,Warm,Web crawl - EduSwasta,01156223116,info@stellar.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
"Sunway International School, Sunway Iskandar",International,Iskandar Puteri,Johor,Not Contacted,Warm,Web crawl - EduSwasta,07-5338070,infosis@sunway.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Tenby International School,International,Johor Bahru,Johor,Not Contacted,Warm,Web crawl - EduSwasta,07-5588812,ecogardens@tenby.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Unico International School,International,Segamat,Johor,Not Contacted,Warm,Web crawl - EduSwasta,0126002764,admin@unico.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Utama International School,International,Johor Bahru,Johor,Not Contacted,Warm,Web crawl - EduSwasta,07-3362058,info.jb@sriutama.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Zera International School,International,Pasir Gudang,Johor,Not Contacted,Warm,Web crawl - EduSwasta,0132058869,hello@zera.edu.my,https://eduswasta.my/international-schools/johor/,,,,,0,Public directory lead from EduSwasta Johor international schools page. | URL: https://eduswasta.my/international-schools/johor/
Abedeen International School,International,Cyberjaya,Selangor,Not Contacted,Warm,Web crawl - EduSwasta,0162612846,admin@abedeen.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
"Acmar International School, Klang",International,Klang,Selangor,Not Contacted,Warm,Web crawl - EduSwasta,03-33583777,admin.ais@acmarschools.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
"Al-Hamra International Primary School, Petaling Jaya, Selangor",International,Petaling Jaya,Selangor,Not Contacted,Warm,Web crawl - EduSwasta,0326308010,bursary@alhamra.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Ardence International Secondary School,International,Shah Alam,Selangor,Not Contacted,Warm,Web crawl - EduSwasta,012-6427996,hello.ardence@gmail.com,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
"Arrow International Secondary School, Petaling Jaya",International,Puchong,Selangor,Not Contacted,Warm,Web crawl - EduSwasta,03-76229747,secondaryschool@arrows.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Asia Pasific International School,International,Subang,Selangor,Not Contacted,Warm,Web crawl - EduSwasta,0129840738,ap-schools@apschools.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Aspiration International Primary School,International,Petaling Jaya,Selangor,Not Contacted,Warm,Web crawl - EduSwasta,03-77317676,enquiries@primary.aspirationis.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Australian International School,International,Seri Kembangan,Selangor,Not Contacted,Warm,Web crawl - EduSwasta,03-86841555,paprincipal@aism.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
"Axcel International School, Puchong, Selangor",International,Puchong,Selangor,Not Contacted,Warm,Web crawl - EduSwasta,03-80514776,info@axcel.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Beaconhouse International Primary School,International,Rawang,Selangor,Not Contacted,Warm,Web crawl - EduSwasta,,,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Beaconhouse SRI Inai International School,International,Petaling Jaya,Selangor,Not Contacted,Cool,Web crawl - EduSwasta,0378046025,sapiah.ali@beaconhouse.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Beverly International School,International,Cyberjaya,Selangor,Not Contacted,Cool,Web crawl - EduSwasta,012-6970432,write2us@beverly.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Brainy Bunch International Islamic Montessori School,International,Gombak,Selangor,Not Contacted,Cool,Web crawl - EduSwasta,,,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Brainy Bunch Islamic International School Cyberjaya,International,Cyberjaya,Selangor,Not Contacted,Cool,Web crawl - EduSwasta,03-84080000,info@brainybunch.com,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
British International School,International,Petaling Jaya,Selangor,Not Contacted,Cool,Web crawl - EduSwasta,03-77277775,info@britishschool.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Canary International School,International,Klang,Selangor,Not Contacted,Cool,Web crawl - EduSwasta,,,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Collinz International Primary School,International,Shah Alam,Selangor,Not Contacted,Cool,Web crawl - EduSwasta,0129029664,school.gl@collinz.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Collinz International School,International,Klang,Selangor,Not Contacted,Cool,Web crawl - EduSwasta,0125808609,school.bo@collinz.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
Collinz International Secondary School,International,Shah Alam,Selangor,Not Contacted,Cool,Web crawl - EduSwasta,012-902 966,school.gl@collinz.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
"Columbia International School, Cheras Selangor",International,Seri Kembangan,Selangor,Not Contacted,Cool,Web crawl - EduSwasta,0387411413,cis@columbiaschool.edu.my,https://eduswasta.my/international-schools/selangor/,,,,,0,Public directory lead from EduSwasta Selangor international schools page. | URL: https://eduswasta.my/international-schools/selangor/
